length weight log.len log.wt
73 3.680000066757202 1.8633228540420532 0.5658478140830994
78 5.480000019073486 1.892094612121582 0.7387805581092835
75 4.940000057220459 1.875061273574829 0.6937269568443298
69 3.4700000286102295 1.8388490676879883 0.5403294563293457
60 3.259999990463257 1.778151273727417 0.5132176280021668
74 4.360000133514404 1.8692317008972168 0.6394864916801453
85 6.440000057220459 1.929418921470642 0.8088858723640442
86 8.369999885559082 1.9344984292984009 0.9227254390716553
82 6.400000095367432 1.913813829421997 0.8061800003051758
85 8.229999542236328 1.929418921470642 0.9153997898101807
70 4.989999771118164 1.8450980186462402 0.6981005072593689
43 1.690000057220459 1.633468508720398 0.22788672149181366
32 0.38999998569488525 1.5051499605178833 -0.40893539786338806
47 2.140000104904175 1.6720978021621704 0.3304137885570526
42 1.0700000524520874 1.6232492923736572 0.02938379906117916
90 8.75 1.954242467880249 0.9420080780982971
46 1.0199999809265137 1.6627578735351562 0.008600163273513317
38 1.0700000524520874 1.57978355884552 0.02938379906117916
40 0.8799999952316284 1.6020599603652954 -0.05551733076572418
39 0.7599999904632568 1.5910645723342896 -0.1191864162683487
32 0.47999998927116394 1.5051499605178833 -0.3187587857246399
10 0.03999999910593033 1 -1.3979400396347046
41 0.9800000190734863 1.6127839088439941 -0.008773915469646454
61 3.3399999141693115 1.785329818725586 0.5237464308738709
42 1.0199999809265137 1.6232492923736572 0.008600163273513317
44 1.100000023841858 1.6434526443481445 0.041392695158720016
56 2.3499999046325684 1.7481880187988281 0.3710678517818451
57 3.930000066757202 1.7558748722076416 0.5943925380706787
17 0.10000000149011612 1.2304489612579346 -1
45 0.6499999761581421 1.653212547302246 -0.18708665668964386
45 1.6399999856948853 1.653212547302246 0.21484383940696716
35 0.5 1.5440680980682373 -0.3010300099849701
20 0.11999999731779099 1.3010300397872925 -0.9208187460899353
29 0.4000000059604645 1.4623980522155762 -0.3979400098323822
21 0.14000000059604645 1.3222192525863647 -0.8538719415664673
26 0.3499999940395355 1.4149733781814575 -0.45593196153640747
26 0.28999999165534973 1.4149733781814575 -0.5376020073890686
36 0.8799999952316284 1.556302547454834 -0.05551733076572418
16 0.11999999731779099 1.2041200399398804 -0.9208187460899353
35 0.6600000262260437 1.5440680980682373 -0.1804560422897339
36 0.6200000047683716 1.556302547454834 -0.20760831236839294
22 0.17000000178813934 1.3424227237701416 -0.7695510983467102
24 0.25 1.3802112340927124 -0.6020600199699402
42 2.2799999713897705 1.6232492923736572 0.357934832572937
33 1.2599999904632568 1.5185139179229736 0.10037054121494293
39 2.200000047683716 1.5910645723342896 0.3424226939678192
56 4.78000020980835 1.7481880187988281 0.6794279217720032
46 3.2699999809265137 1.6627578735351562 0.5145477652549744
22 0.20000000298023224 1.3424227237701416 -0.6989700198173523
12 0.09000000357627869 1.07918119430542 -1.045757532119751
27 0.30000001192092896 1.431363821029663 -0.5228787064552307
34 0.5199999809265137 1.5314788818359375 -0.28399667143821716
32 0.4699999988079071 1.5051499605178833 -0.3279021382331848
23 0.1899999976158142 1.3617278337478638 -0.7212464213371277
28 0.2800000011920929 1.4471579790115356 -0.5528419613838196
14 0.07999999821186066 1.1461280584335327 -1.096909999847412
22 0.18000000715255737 1.3424227237701416 -0.7447274923324585
17 0.12999999523162842 1.2304489612579346 -0.886056661605835
10 0.05999999865889549 1 -1.221848726272583
23 0.20000000298023224 1.3617278337478638 -0.6989700198173523
35 0.6000000238418579 1.5440680980682373 -0.221848726272583
29 0.38999998569488525 1.4623980522155762 -0.40893539786338806
26 0.3100000023841858 1.4149733781814575 -0.508638322353363
21 0.1599999964237213 1.3222192525863647 -0.7958800196647644
16 0.05999999865889549 1.2041200399398804 -1.221848726272583
16 0.03999999910593033 1.2041200399398804 -1.3979400396347046
20 0.1599999964237213 1.3010300397872925 -0.7958800196647644
75 4.940000057220459 1.875061273574829 0.6937269568443298
78 5.480000019073486 1.892094612121582 0.7387805581092835
22 0.36000001430511475 1.3424227237701416 -0.4436974823474884
61 3.1600000858306885 1.785329818725586 0.4996871054172516
59 1.909999966621399 1.770851969718933 0.28103336691856384
78 8.4399995803833 1.892094612121582 0.9263424277305603
90 13.619999885559082 1.954242467880249 1.1341770887374878
93 8.699999809265137 1.9684829711914063 0.9395192265510559
71 4.389999866485596 1.851258397102356 0.6424645185470581
94 8.229999542236328 1.973127841949463 0.9153997898101807
85 6.300000190734863 1.929418921470642 0.799340546131134
85 6.059999942779541 1.929418921470642 0.7824726104736328
24 0.23999999463558197 1.3802112340927124 -0.6197887659072876
25 0.27000001072883606 1.3979400396347046 -0.5686362385749817
57 2.0399999618530273 1.7558748722076416 0.3096301555633545
45 1.2999999523162842 1.653212547302246 0.11394333839416504
10 0.029999999329447746 1 -1.5228787660598755
10 0.029999999329447746 1 -1.5228787660598755
10 0.019999999552965164 1 -1.6989699602127075
11 0.029999999329447746 1.0413926839828491 -1.5228787660598755
19 0.14000000059604645 1.278753638267517 -0.8538719415664673
16 0.07999999821186066 1.2041200399398804 -1.096909999847412
31 0.029999999329447746 1.4913617372512817 -1.5228787660598755
23 0.18000000715255737 1.3617278337478638 -0.7447274923324585
19 0.10000000149011612 1.278753638267517 -1
18 0.09000000357627869 1.2552725076675415 -1.045757532119751
23 0.23000000417232513 1.3617278337478638 -0.6382721662521362
25 0.25999999046325684 1.3979400396347046 -0.5850266814231873
33 0.7099999785423279 1.5185139179229736 -0.14874166250228882
42 0.8500000238418579 1.6232492923736572 -0.07058106362819672
21 0.18000000715255737 1.3222192525863647 -0.7447274923324585
90 12 1.954242467880249 1.07918119430542
94 11.220000267028809 1.973127841949463 1.0499929189682007
